cf_id,first_name,last_name,email,Remaining Goal Amount
968,Abrienne,Beninati,abeninati@yahoo.com,153288.00
968,Achim,Avila,aavila@gmail.com,153288.00
968,Adalgiso,Dreschner,adreschner@protonmail.com,153288.00
968,Adam,Garza,agarza@yahoo.com,153288.00
968,Adam,Nieves,anieves@outlook.com,153288.00
968,Adelbert,Vinson,avinson@live.com,153288.00
968,Adil,Pace,apace@live.com,153288.00
968,Adolph,Aprea,aaprea@live.com,153288.00
968,Adolph,Owens,aowens@yandex.com,153288.00
968,Aide,Jollenbeck,ajollenbeck@yandex.com,153288.00
968,Akilah,Cadieux,acadieux@yahoo.com,153288.00
968,Albert,Martin,amartin@yahoo.com,153288.00
968,Albertaa,Walls,awalls@yandex.com,153288.00
968,Albin,Cervi,acervi@live.com,153288.00
968,Aldo,Knowles,aknowles@live.com,153288.00
968,Alessandra,Dresdner,adresdner@yahoo.com,153288.00
968,Alessio,Geier,ageier@yandex.com,153288.00
968,Alexandra,Jimenez,ajimenez@yandex.com,153288.00
968,Alexandra,Miranda,amiranda@yandex.com,153288.00
968,Alfieri,Christian,achristian@yandex.com,153288.00
968,Alfred,Seidel,aseidel@yahoo.com,153288.00
968,Alice,Jaeger,ajaeger@yahoo.com,153288.00
968,Alicia,Realmuto,arealmuto@live.com,153288.00
968,Alienor,Mays,amays@live.com,153288.00
968,Alma,Valdez,avaldez@gmail.com,153288.00
968,Alonza,Chimienti,achimienti@yahoo.com,153288.00
968,Amelie,Mcpherson,amcpherson@yahoo.com,153288.00
968,Amintore,Wood,awood@gmail.com,153288.00
968,Amir,Magnin,amagnin@yahoo.com,153288.00
968,Andre,Guy,aguy@live.com,153288.00
968,Andrea,Vallet,avallet@yahoo.com,153288.00
968,Andreas,Rigal,arigal@yahoo.com,153288.00
968,Angel,Brennan,abrennan@live.com,153288.00
968,Angela,Benigno,abenigno@protonmail.com,153288.00
968,Angelina,Sommer,asommer@yandex.com,153288.00
968,Angelo,Dion,adion@yahoo.com,153288.00
968,Angelo,Vincent,avincent@live.com,153288.00
968,Angioletta,Girard,agirard@outlook.com,153288.00
968,Anita,Bondi,abondi@yahoo.com,153288.00
968,Anjanette,Pratt,apratt@gmail.com,153288.00
968,Anna,Morrow,amorrow@live.com,153288.00
968,Annalee,Patel,apatel@protonmail.com,153288.00
968,Annetta,Andreas,aandreas@outlook.com,153288.00
968,Annetta,Zampini,azampini@yahoo.com,153288.00
968,Annice,Hochberg,ahochberg@outlook.com,153288.00
968,Annis,Rigal,arigal@live.com,153288.00
968,Annita,Herve,aherve@yandex.com,153288.00
968,Anny,Derrien,aderrien@gmail.com,153288.00
968,Antonia,Garcia,agarcia@gmail.com,153288.00
968,Antonio,Walters,awalters@outlook.com,153288.00
968,Antony,Courtin,acourtin@gmail.com,153288.00
968,Ardella,Soto,asoto@gmail.com,153288.00
968,Ardelle,Howe,ahowe@yandex.com,153288.00
968,Arden,Bader,abader@outlook.com,153288.00
968,Armand,Bullock,abullock@gmail.com,153288.00
968,Armanda,Cooper,acooper@yandex.com,153288.00
968,Armandina,Guzman,aguzman@live.com,153288.00
968,Arnelle,Caldarelli,acaldarelli@yahoo.com,153288.00
968,Arnold,Lang,alang@gmail.com,153288.00
968,Arnoldo,Lehmann,alehmann@live.com,153288.00
968,Ashanti,Achilles,aachilles@outlook.com,153288.00
968,Assunta,Lacroix,alacroix@protonmail.com,153288.00
968,Audrey,Bocci,abocci@gmail.com,153288.00
968,August,Adam,aadam@gmail.com,153288.00
968,Austin,Dupras,adupras@protonmail.com,153288.00
968,Ava,Graham,agraham@protonmail.com,153288.00
968,Ayoub,Humphrey,ahumphrey@protonmail.com,153288.00
968,Badis,Lorenz,blorenz@gmail.com,153288.00
968,Bamhi,Beckenbauer,bbeckenbauer@protonmail.com,153288.00
968,Bamhi,Farro,bfarro@yahoo.com,153288.00
968,Baptiste,Ambrosio,bambrosio@protonmail.com,153288.00
968,Bart,Buhr,bbuhr@yahoo.com,153288.00
968,Basilia,Habich,bhabich@protonmail.com,153288.00
968,Basilio,Hase,bhase@yandex.com,153288.00
968,Beatrice,Clarke,bclarke@protonmail.com,153288.00
968,Bellissa,Carpenter,bcarpenter@yahoo.com,153288.00
968,Beniamino,Dale,bdale@protonmail.com,153288.00
968,Beniamino,Macdonald,bmacdonald@live.com,153288.00
968,Benjamin,Leveque,bleveque@live.com,153288.00
968,Berengar,Allison,ballison@outlook.com,153288.00
968,Bergen,Lowery,blowery@outlook.com,153288.00
968,Bernd,Bonadio,bbonadio@yandex.com,153288.00
968,Bert,Brassard,bbrassard@gmail.com,153288.00
968,Berta,Lemaire,blemaire@yandex.com,153288.00
968,Bertina,Swanson,bswanson@live.com,153288.00
968,Bettina,Schulze,bschulze@live.com,153288.00
968,Bev,Hess,bhess@protonmail.com,153288.00
968,Bia,Bonura,bbonura@yahoo.com,153288.00
968,Bia,Cordier,bcordier@gmail.com,153288.00
968,Bianca,Elliott,belliott@outlook.com,153288.00
968,Bice,Brune,bbrune@gmail.com,153288.00
968,Bilal,Maldonado,bmaldonado@yahoo.com,153288.00
968,Billie,Scott,bscott@yandex.com,153288.00
968,Birgit,Mecca,bmecca@live.com,153288.00
968,Blair,Fischer,bfischer@live.com,153288.00
968,Blake,Castaneda,bcastaneda@yahoo.com,153288.00
968,Bobby,Gaillard,bgaillard@yandex.com,153288.00
968,Bobby,Sims,bsims@yahoo.com,153288.00
968,Bobette,Rutledge,brutledge@yandex.com,153288.00
968,Bonfilia,Hays,bhays@yandex.com,153288.00
968,Bradley,Hummel,bhummel@live.com,153288.00
968,Brain,Logan,blogan@yahoo.com,153288.00
968,Brayan,Rochefort,brochefort@yandex.com,153288.00
968,Brittaney,Nardelli,bnardelli@protonmail.com,153288.00
968,Bronwyn,Fuchs,bfuchs@live.com,153288.00
968,Bruno,Wolff,bwolff@outlook.com,153288.00
968,Bryan,Brouillette,bbrouillette@live.com,153288.00
968,Bryan,Houk,bhouk@yahoo.com,153288.00
968,Bryan,Joyce,bjoyce@yandex.com,153288.00
968,Bunny,Day,bday@outlook.com,153288.00
968,Burt,Coulon,bcoulon@live.com,153288.00
968,Byanca,Mcbride,bmcbride@live.com,153288.00
968,Byron,Shaw,bshaw@live.com,153288.00
968,Cabal,Walker,cwalker@yandex.com,153288.00
968,Calvin,Graf,cgraf@protonmail.com,153288.00
968,Camelia,Achterberg,cachterberg@yahoo.com,153288.00
968,Cameo,Weiss,cweiss@yahoo.com,153288.00
968,Camilla,Dillard,cdillard@yandex.com,153288.00
968,Cammie,Tournier,ctournier@yandex.com,153288.00
968,Caprice,Capelle,ccapelle@yahoo.com,153288.00
